Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Diversity Spotlight (US Headquarters Only),Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),School Program,School Type,School Method,Number of Enrollments,Number of Founders (Alumni),Number of Alumni,Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price Currency (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO Currency (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Last Leadership Hiring Date,Last Layoff Mention Date,Number of Events
Digital Currency Group,https://www.crunchbase.com/organization/digital-currency-group,"Bitcoin, Blockchain, Financial Services, FinTech, Venture Capital","Stamford, Connecticut, United States","Digital Currency Group builds and supports bitcoin and blockchain companies by leveraging insights, network, and access to capital.",735,"East Coast, New England, Northeastern US",,$100M to $500M,Active,2011-01-01,year,,,,,,http://dcg.co,Venture Capital,"Early Stage Venture, Initial Coin Offering, Late Stage Venture, Seed",225,297,31,25,35,35,,,,,,,,,,"Financial Services, Lending and Investments, Other, Payments, Software",1,Digital Currency Group Silbert,1-10,5,,2021-11-18,600000000,USD,600000000,Debt Financing,,,,Venture - Series Unknown,,,,1300000000,USD,1300000000,"Francisco Partners, Mastercard, Oak HC/FT, Ribbit Capital, FirstMark",6,27,2,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,,2022-11-01,3
Trip.com,https://www.crunchbase.com/organization/ctrip,"Hospitality, Tourism, Travel","Singapore, Central Region, Singapore","Trip.com is a travel agency offering comprehensive services such as hotel reservations, air ticketing, packaged tours, and more.",737,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",,$1B to $10B,Active,1999-05-01,month,2017-05-14,day,,,For Profit,https://www.trip.com,,,13,18,10,,5,5,,,,,,,,,,Travel and Tourism,5,"James Liang, Min Fan, Neil Shen, Ori Zaltzman, Travis Katz",10001+,4,IPO,2022-12-02,1500000000,USD,1500000000,Post-IPO Debt,,,,Private Equity,500000,USD,500000,1500500000,USD,1500500000,"IDG Capital, SAIF Partners, Capital Today, SIIC Investment",1,4,5,Made Acquisitions,,,,,,,,,,,,Public,2017-05-14,,,,,,,,,CTRP,https://www.crunchbase.com/ipo/ctrip-ipo--e7283ea9,VIE - Vienna Stock Exchange,,,
One97,https://www.crunchbase.com/organization/one97-communications,"Finance, FinTech, Mobile Advertising, Mobile Payments, Software","Noida, Uttar Pradesh, India",One97 delivers mobile content and commerce services to its customers.,739,Asia-Pacific (APAC),,$500M to $1B,Active,2000-12-23,day,2021-11-18,day,,,For Profit,https://one97.com,,,10,12,7,,2,2,,,,,,,,,,"Advertising, Financial Services, Mobile, Payments, Sales and Marketing, Software",1,Vijay Shekhar Sharma,1001-5000,14,IPO,2023-01-12,5602030000,INR,68596529,Post-IPO Equity,5602030000,INR,68596529,Post-IPO Equity,4786871168,USD,4786871168,5076248581,USD,5076248581,"Berkshire Hathaway, Alibaba Group, Ant Group, SoftBank, Silicon Valley Bank",9,24,2,Made Acquisitions,,,,,,,,,,,,Public,2021-11-18,,,,,,,,,543396,https://www.crunchbase.com/ipo/one97-communications-ipo--bcbb86d0,BOM - Bombay Stock Exchange,,,
Renee Cosmetics,https://www.crunchbase.com/organization/renee-cosmetics,"Beauty, Cosmetics, E-Commerce","Ahmedabad, Gujarat, India",Renee Cosmetics is a makeup brand that offers cruelty-free cosmetics products for women.,740,Asia-Pacific (APAC),,,Active,2019-01-01,year,,,,,For Profit,https://www.reneecosmetics.in,,,,,,,,,,,,,,,,,,"Commerce and Shopping, Consumer Goods",3,"Aashka Goradia Goble, Ashutosh Valani, Priyank Shah",51-100,3,Early Stage Venture,2022-12-06,25000000,USD,25000000,Series B,25000000,USD,25000000,Series B,36414982,USD,36414982,36414982,USD,36414982,"Mensa Brands, Edelweiss Financial Services, 9Unicorns Accelerator Fund, Titan Capital, Equanimity Investments",4,6,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,
User Interviews,https://www.crunchbase.com/organization/user-interviews,"Consumer Research, Market Research, Product Research, Recruiting","Brooklyn, New York, United States","User Interviews focuses on connecting researchers and participants for research studies, surveys, and focus groups.",741,"Greater New York Area, East Coast, Northeastern US",,$1M to $10M,Active,2015-09-01,day,,,,,For Profit,https://www.userinterviews.com,,,,,,,,,,,,,,,,,,"Data and Analytics, Design, Professional Services",3,"Basel Fakhoury, Bob Saris, Dennis Meng",51-100,8,Early Stage Venture,2022-12-20,27500000,USD,27500000,Series B,27500000,USD,27500000,Series B,43500000,USD,43500000,43500000,USD,43500000,"Alumni Ventures, FJ Labs, (ERA) Entrepreneurs Roundtable Accelerator, Sageview Capital, Dorm Room Fund",3,17,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,1
Vivint,https://www.crunchbase.com/organization/vivint,"Electronics, Security, Smart Home","Provo, Utah, United States","Vivint offers an integrated smart home system along with in-home consultation, professional installation, monitoring, and support.",743,Western US,,$100M to $500M,Active,1999-01-01,year,2020-01-21,day,,,For Profit,http://www.vivint.com,,,1,1,1,1,1,1,,,,,,,,,,"Consumer Electronics, Hardware, Privacy and Security, Real Estate",2,"Keith Nellesen, Todd Pedersen",10001+,9,M&A,2020-01-17,488000000,USD,488000000,Post-IPO Equity,488000000,USD,488000000,Post-IPO Equity,588000000,USD,588000000,1275000000,USD,1275000000,"Goldman Sachs, Founders Fund, Fortress Investment Group, Blackstone Group, Peterson Partners",3,8,2,"Made Acquisitions, Was Acquired",Vivint acquired by NRG Energy,https://www.crunchbase.com/acquisition/nrg-energy-acquires-vivint--bfa90b1e,NRG Energy,https://www.crunchbase.com/organization/nrg-energy,2022-12-06,day,2800000000,USD,2800000000,Acquisition,Cash,Public,2020-01-21,,,,,,,,,VVNT,https://www.crunchbase.com/ipo/vivint-ipo--13cc0a52,NYSE - New York Stock Exchange,2022-03-15,,6
Shadowfax,https://www.crunchbase.com/organization/shadowfax-technologies,"Delivery Service, E-Commerce, Logistics, Supply Chain Management","Bangalore, Karnataka, India",Shadowfax is an on-demand logistics network that provides tech-enabled one-stop delivery solutions.,744,Asia-Pacific (APAC),,,Active,2015-01-01,year,,,,,For Profit,http://shadowfax.in/,,,,,,,,,,,,,,,,,,"Commerce and Shopping, Transportation",2,"Abhishek Bansal, Vaibhav Khandelwal",1001-5000,6,Late Stage Venture,2022-07-11,953200000,INR,11993248,Series E,953200000,INR,11993248,Series E,112793248,USD,112793248,112793248,USD,112793248,"Mirae Asset, Flipkart, International Finance Corporation, Qualcomm Ventures, InnoVen Capital",3,14,2,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,2021-11-16,2020-05-12,1
BetterPlace,https://www.crunchbase.com/organization/betterplace-safety-solutions-pvt-ltd,"Consulting, Human Resources, Information Services, Recruiting, Training","Bengaluru, Karnataka, India","BetterPlace provides businesses with contractor workforce management, including onboarding, training, and background checks.",746,Asia-Pacific (APAC),,,Active,2015-01-01,month,,,,,For Profit,https://betterplace.co.in,,,,,,,,,,,,,,,,,,"Administrative Services, Education, Information Technology, Professional Services",3,"Pravin Agarwala, Raj Parakh, Saurabh Tandon",501-1000,6,Late Stage Venture,2022-12-20,3400000000,INR,41124583,Series C,3400000000,INR,41124583,Series C,79124583,USD,79124583,91213619,USD,91213619,"Site Capital Partners, Capria Ventures, Macquarie Capital, 3one4 Capital, Unitus Ventures",3,14,6,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,,,
Contentstack,https://www.crunchbase.com/organization/contentstack,"CMS, Content, Content Delivery Network, Digital Marketing, Information Technology, SaaS","San Francisco, California, United States",Contentstack offers a content management system that allows information to be stored and shared from a single source.,746,"San Francisco Bay Area, West Coast, Western US","South Asian Founded, Women Founded, Women Led",$1M to $10M,Active,2018-01-01,day,,,,,For Profit,http://www.contentstack.com,,,,,,,,,,,,,,,,,,"Content and Publishing, Information Technology, Media and Entertainment, Sales and Marketing, Software",3,"Matthew Baier, Neha Sampat, Nishant Patel",251-500,4,Late Stage Venture,2022-11-15,80000000,USD,80000000,Series C,80000000,USD,80000000,Series C,169000000,USD,169000000,169000000,USD,169000000,"Insight Partners, Illuminate Ventures, Georgian, GingerBread Capital",3,4,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,
Bending Spoons,https://www.crunchbase.com/organization/bending-spoons,"Artificial Intelligence, Information Technology, Mobile Apps, Software","Milan, Lombardia, Italy",We create our own cutting-edge technologies and products.,747,European Union (EU),,$50M to $100M,Active,2013-06-01,month,,,,,For Profit,http://bendingspoons.com,,,0,0,,,,,,,,,,,,,,"Apps, Artificial Intelligence, Data and Analytics, Information Technology, Mobile, Science and Engineering, Software",5,"Francesco Patarnello, Luca Ferrari, Luca Querella, Matteo Danieli, Tomasz Greber",251-500,0,,,,,,,,,,,,,,,,,,0,0,1,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,,,
o9 Solutions,https://www.crunchbase.com/organization/o9-solutions,"Analytics, Digital Media, Enterprise Software, SaaS","Dallas, Texas, United States",O9 Solutions is a cloud-based business management platform powering digital transformations of integrated planning and operations.,747,"Dallas/Fort Worth Metroplex, Southern US",,$10M to $50M,Active,2009-01-01,year,,,,,For Profit,https://www.o9solutions.com,,,,,,,,,,,,,,,,,,"Data and Analytics, Media and Entertainment, Software",2,"Chakri Gottemukkala, Sanjiv S. Sidhu",1001-5000,8,Private Equity,2022-01-26,295000000,USD,295000000,Private Equity,295000000,USD,295000000,Private Equity,417000000,USD,417000000,417000000,USD,417000000,"Kohlberg Kravis Roberts, General Atlantic, Generation Investment Management, Beyond Net Zero",1,4,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,3
Greenikk,https://www.crunchbase.com/organization/greenikk,"Agriculture, AgTech, Information Technology","Trivandrum, Kerala, India",Greenikk is building a banana farmer-centric digital ecosystem backed by a technology stack.,748,Asia-Pacific (APAC),,,Active,2020-01-14,day,,,,,For Profit,http://greenikk.com,,,,,,,,,,,,,,,,,,"Agriculture and Farming, Information Technology",2,"Fariq Naushad, Previn Jacob Varghese",11-50,3,Seed,2023-01-09,33400000,INR,405501,Pre-Seed,33400000,INR,405501,Pre-Seed,505501,USD,505501,711894,USD,711894,"9Unicorns Accelerator Fund, Arjun Pillai, Mayank Tiwari, Manish Modi, Smart Sparks Angel Network",1,6,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,
SaveIN,https://www.crunchbase.com/organization/savein,"Credit, FinTech, Health Care","New Delhi, Delhi, India",SaveIN is a fintech platform that offers embedded finance at healthcare clinics and wellness centers,748,Asia-Pacific (APAC),,,Active,2020-11-20,day,,,,,For Profit,https://www.savein.money/,,,,,,,,,,,,,,,,,,"Financial Services, Health Care, Lending and Investments",3,"Anurag Varma, Gaurav Luthra, Jitin Bhasin",11-50,7,Seed,2022-12-26,82000000,INR,989110,Seed,82000000,INR,989110,Seed,8023598,USD,8023598,8023598,USD,8023598,"Y Combinator, Pioneer Fund, Soma Capital, Goodwater Capital, 10x Founders",4,21,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,
RealBlocks,https://www.crunchbase.com/organization/realblocks,"Blockchain, Commercial Real Estate, FinTech, Impact Investing, Internet, Real Estate","New York, New York, United States",RealBlocks is a technology platform that delivers online access to alternative investments.,751,"Greater New York Area, East Coast, Northeastern US",,$1M to $10M,Active,2017-01-01,year,,,,,For Profit,http://realblocks.com,,,,,,,,,,,,,,,,,,"Financial Services, Internet Services, Lending and Investments, Other, Real Estate",2,"Naman Srivastava, Perrin Quarshie",11-50,4,Early Stage Venture,2020-10-30,7000000,USD,7000000,Series A,7000000,USD,7000000,Series A,10700000,USD,10700000,10820000,USD,10820000,"Techstars, Science, Right Side Capital Management, Ulu Ventures, Morgan Creek Capital Management",2,9,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,3
Regeneron,https://www.crunchbase.com/organization/regeneron-pharmaceuticals,"Biopharma, Biotechnology, Pharmaceutical","Tarrytown, New York, United States",Regeneron Pharmaceuticals is a biotechnology company that invents life-transforming medicines for people with serious diseases.,751,"Greater New York Area, East Coast, Northeastern US",,$1B to $10B,Active,1988-01-01,year,1991-04-12,day,,,For Profit,http://www.regeneron.com/,,,6,6,2,1,3,3,,,,,,,,,,"Biotechnology, Health Care, Science and Engineering",3,"Eric Shooter, George D. Yancopoulos, Leonard S. Schleifer",5001-10000,1,IPO,2016-08-22,8900000,USD,8900000,Post-IPO Equity,8900000,USD,8900000,Post-IPO Equity,8900000,USD,8900000,8900000,USD,8900000,U.S. Department of Health & Human Services,1,1,1,Made Acquisitions,,,,,,,,,,,,Public,1991-04-12,,,,,,,,,REGN,https://www.crunchbase.com/ipo/regeneron-pharmaceuticals-ipo--50a23546,NASDAQ,,2020-01-02,2
Bud,https://www.crunchbase.com/organization/bud,"Banking, Data Integration, Financial Services, FinTech","London, England, United Kingdom",Bud develops an open banking platform that enables users to access data from any financial product.,752,,,Less than $1M,Active,2015-07-01,day,,,,,For Profit,http://www.thisisbud.com,,,,,,,,,,,,,,,,,,"Data and Analytics, Financial Services, Information Technology, Lending and Investments, Software",2,"Edward Maslaveckas, George Dunning",101-250,4,Early Stage Venture,2022-06-07,80000000,USD,80000000,Series B,80000000,USD,80000000,Series B,101969564,USD,101969564,101969564,USD,101969564,"Investec, HSBC, Goldman Sachs, 9Yards Capital, TDR Capital",5,13,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,5
Naver,https://www.crunchbase.com/organization/naver-corporation,"Internet of Things, Online Portals, Search Engine","Seongnam, Kyonggi-do, South Korea","Naver operates as a search engine and e-commerce platform providing fintech, digital content, and cloud services.",753,Asia-Pacific (APAC),,$10B+,Active,1999-06-02,day,2008-12-05,day,,,For Profit,http://www.navercorp.com,,,52,60,27,1,14,14,,,,,,,,,,Internet Services,2,"Hae-Jin Lee, Joon-ho Lee",1001-5000,1,IPO,2017-06-27,500000000000,KRW,438231298,Post-IPO Equity,500000000000,KRW,438231298,Post-IPO Equity,500000000000,KRW,438231298,500000000000,KRW,438231298,Mirae Asset,1,1,6,Made Acquisitions,,,,,,,,,,,,Public,2008-12-05,,,,,,,,,035420,https://www.crunchbase.com/ipo/naver-corporation-ipo--6bd9f99b,KRX - Korea Stock Exchange,2021-11-17,,6
PolySign,https://www.crunchbase.com/organization/polysign,"Asset Management, Cryptocurrency, FinTech, Payments, Security","Oakland, California, United States",PolySign develops secure and scalable infrastructure for financial institutions to fully leverage their digital assets.,754,"San Francisco Bay Area, West Coast, Western US",,$1M to $10M,Active,2018-01-01,year,,,,,For Profit,http://www.polysign.io,,,,,,,,,,,,,,,,,,"Financial Services, Payments, Privacy and Security, Software",2,"Arthur Britto, David Schwartz",1-10,8,,2023-01-12,,,,Venture - Series Unknown,,,,Venture - Series Unknown,131681196,USD,131681196,158181196,USD,158181196,"Cowen Group, GSR Ventures, GSR, Soros Fund Management, Brevan Howard Asset Management",3,12,1,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,,,
PagerDuty,https://www.crunchbase.com/organization/pagerduty,"Cloud Computing, Information Technology, IT Management, SaaS, Software","San Francisco, California, United States",PagerDuty is an operations performance platform delivering visibility and actionable intelligence across the entire incident lifecycle.,755,"San Francisco Bay Area, West Coast, Western US",Women Led,$50M to $100M,Active,2009-02-01,day,2019-04-10,day,,,For Profit,http://www.pagerduty.com,,,2,2,,1,,,,,,,,,,,,"Information Technology, Internet Services, Software",3,"Alex Solomon, Andrew Miklas, Baskar Puvanathasan",501-1000,7,IPO,2018-09-06,90000000,USD,90000000,Series D,90000000,USD,90000000,Series D,173600000,USD,173600000,173600000,USD,173600000,"Andreessen Horowitz, Accel, Y Combinator, Bessemer Venture Partners, Wellington Management",7,16,3,Made Acquisitions,,,,,,,,,,,,Public,2019-04-10,,,217680000,USD,217680000,1766000000,USD,1766000000,PD,https://www.crunchbase.com/ipo/pagerduty-ipo--5b40472d,NYSE - New York Stock Exchange,2021-08-25,,52
Fountain Life,https://www.crunchbase.com/organization/fountain-life,"Artificial Intelligence, Health Care, Medical, Wellness","Naples, Florida, United States","Fountain Life is a provider of fully-integrated platforms delivering predictive, preventative, personalized, and data-driven health.",755,"East Coast, Southern US",,,Active,2020-01-03,day,,,,,For Profit,https://www.fountainlife.com,,,,,,,,,,,,,,,,,,"Artificial Intelligence, Data and Analytics, Health Care, Science and Engineering, Software",3,"Peter Diamandis, Robert Hariri, Tony Robbins",11-50,2,,2022-12-15,15000000,USD,15000000,Venture - Series Unknown,15000000,USD,15000000,Venture - Series Unknown,17140000,USD,17140000,17140000,USD,17140000,"Eos Venture Partners, Newcross Healthcare",2,2,,,,,,,,,,,,,,Private,,,,,,,,,,,,,2022-12-07,,
Upsie,https://www.crunchbase.com/organization/upsie,"Apps, Insurance, Mobile, Mobile Apps, Software","Saint Paul, Minnesota, United States",Upsie is a mobile app that provides warranties for electronic devices and appliances.,756,"Greater Minneapolis-Saint Paul Area, Great Lakes, Midwestern US","Black / African American Founded, Black / African American Led",$1M to $10M,Active,2015-01-01,year,,,,,For Profit,http://www.upsie.com,,,,,,,,,,,,,,,,,,"Apps, Financial Services, Mobile, Software",1,Clarence Bethea,11-50,6,Early Stage Venture,2021-05-13,18200000,USD,18200000,Series A,18200000,USD,18200000,Series A,26380000,USD,26380000,26380000,USD,26380000,"Techstars, Silicon Valley Bank, Kapor Capital, Samsung NEXT, Village Capital",1,38,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,
3Commas,https://www.crunchbase.com/organization/3-commas,"Cryptocurrency, Financial Services, FinTech, Trading Platform","Toronto, Ontario, Canada",3Commas develops a crypto-asset management tool for tracking investments and exchanges.,760,Great Lakes,,,Active,2017-01-01,year,,,,,For Profit,https://3commas.io,,,20,20,,,,,,,,,,,,,,"Financial Services, Lending and Investments, Payments, Software",1,Yuriy Sorokin,101-250,2,Early Stage Venture,2022-09-22,37000000,USD,37000000,Series B,37000000,USD,37000000,Series B,40000000,USD,40000000,40000000,USD,40000000,"Alameda Research, Target Global, Jump Crypto, Dmitry Tokarev",4,4,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,1
allO,https://www.crunchbase.com/organization/allo-restaurant,"Food and Beverage, Payments, Point of Sale, Restaurants, Software","Munich, Bayern, Germany",allO is an all-in-one restaurant management system. Our mission is to help local restaurants thrive. We strive to democratize gastronomy.,760,European Union (EU),,,Active,2021-01-01,year,,,,,For Profit,https://allo.restaurant,,,,,,,,,,,,,,,,,,"Commerce and Shopping, Financial Services, Food and Beverage, Payments, Software",3,"Benedikt von Lewinski, Cancan Liu, Teodor Rupi",1-10,1,Seed,2022-12-15,1400000,EUR,1489425,Seed,1400000,EUR,1489425,Seed,1400000,EUR,1489425,1400000,EUR,1489425,"Chengyuan Zhai, Michael Herbst, Ernst Ludes, Keen Venture Partners, Martin Enderle",1,5,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,
Sea,https://www.crunchbase.com/organization/garena,"E-Commerce, Messaging, Mobile, Payments","Singapore, Central Region, Singapore",Sea is the leading consumer internet company in Southeast Asia and Taiwan.,761,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",,$1B to $10B,Active,2009-01-01,year,2017-10-20,day,,,For Profit,https://www.sea.com/home,,,13,18,11,,2,2,,,,,,,,,,"Commerce and Shopping, Financial Services, Information Technology, Internet Services, Messaging and Telecommunications, Mobile, Payments",3,"David Chen, Forrest Li, Gang Ye",5001-10000,10,IPO,2021-09-09,3500000000,USD,3500000000,Post-IPO Equity,3500000000,USD,3500000000,Post-IPO Equity,6147000000,USD,6147000000,8647000000,USD,8647000000,"Tencent, Ontario Teachers' Pension Plan, General Atlantic, Hillhouse Capital Group, Mistletoe",4,15,3,Made Acquisitions,,,,,,,,,,,,Public,2017-10-20,,,884000000,USD,884000000,4888000000,USD,4888000000,SE,https://www.crunchbase.com/ipo/garena-ipo--c3de6d43,NYSE - New York Stock Exchange,,2022-11-14,1
SecZetta,https://www.crunchbase.com/organization/seczetta,"Consulting, Identity Management, Information Technology, Software","Fall River, Massachusetts, United States",SecZetta providea product for managing 3rd party identity risk,761,"East Coast, New England, Northeastern US",,$1M to $10M,Active,2019-08-30,day,2023-01-12,day,,,For Profit,http://www.seczetta.com,,,,,,,,,,,,,,,,,,"Information Technology, Privacy and Security, Professional Services, Software",1,David Pignolet,51-100,2,M&A,2021-09-30,20500000,USD,20500000,Series B,20500000,USD,20500000,Series B,30500000,USD,30500000,30500000,USD,30500000,"Rally Ventures, ClearSky, MassMutual Ventures, SYN Ventures",2,4,,Was Acquired,SecZetta acquired by SailPoint,https://www.crunchbase.com/acquisition/sailpoint-technologies-acquires-seczetta--e6c7b129,SailPoint,https://www.crunchbase.com/organization/sailpoint-technologies,2023-01-12,day,,,,Acquisition,,Private,,,,,,,,,,,,,,,3
Evolve,https://www.crunchbase.com/organization/evolve-vacation-rental-network,"Hospitality, Tourism, Travel, Vacation Rental","Denver, Colorado, United States",Evolve offers rental services for vacation with modern approach to hospitality and property.,763,"Greater Denver Area, Western US",,$10M to $50M,Active,2011-01-01,year,,,,,For Profit,http://evolve.com,,,,,,,,,,,,,,,,,,"Real Estate, Travel and Tourism",2,"Adam Sherry, Brian Egan",501-1000,6,Late Stage Venture,2022-02-14,100000000,USD,100000000,Series F,100000000,USD,100000000,Series F,224200000,USD,224200000,224200000,USD,224200000,"T. Rowe Price, Allen & Company, Durable Capital Partners, PAR Capital Management, ArrowMark Partners",3,9,1,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,,,
SimpliSafe,https://www.crunchbase.com/organization/simplisafe,"Consumer Electronics, Security, Sensor, Smart Home","Boston, Massachusetts, United States","SimpliSafe is a home security company that designs, engineers, and sells wireless security alarm systems, cameras, and services.",766,"Greater Boston Area, East Coast, New England",Women Founded,$100M to $500M,Active,2006-01-01,year,2018-06-29,day,,,For Profit,http://simplisafe.com,,,,,,,,,,,,,,,,,,"Consumer Electronics, Hardware, Privacy and Security, Real Estate",2,"Chad Laurans, Eleanor Laurans",501-1000,4,M&A,2022-05-06,200000000,USD,200000000,Debt Financing,130000000,USD,130000000,Private Equity,187000000,USD,187000000,387000000,USD,387000000,"Sequoia Capital, Alumni Ventures, Owl Rock Capital, Capital One, HPS Investment Partners",1,6,,Was Acquired,SimpliSafe acquired by Hellman & Friedman,https://www.crunchbase.com/acquisition/hellman-friedmann-acquires-simplisafe--28506c30,Hellman & Friedman,https://www.crunchbase.com/organization/hellman-friedmann,2018-06-29,day,,,,Acquisition,,Private,,,,,,,,,,,,,2021-03-15,,
Watershed,https://www.crunchbase.com/organization/watershed-07e2,"Cloud Data Services, Information Technology, Internet, Software, Sustainability","San Francisco, California, United States","Watershed is a software platform for running a world-class climate program. Start reducing your carbon footprint in weeks, not years.",766,"San Francisco Bay Area, West Coast, Western US",,$1M to $10M,Active,2019-01-01,year,,,,,For Profit,https://watershed.com,,,,,,,,,,,,,,,,,,"Information Technology, Internet Services, Software, Sustainability",3,"Avi Itskovich, Christian Anderson, Taylor Francis",101-250,2,Early Stage Venture,2022-02-08,70000000,USD,70000000,Series B,70000000,USD,70000000,Series B,70000000,USD,70000000,70000000,USD,70000000,"Sequoia Capital, Kleiner Perkins",2,2,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,
LeafLink,https://www.crunchbase.com/organization/leaflink,"B2B, Cannabis, Marketplace, SaaS, Wholesale","New York, New York, United States",LeafLink is a wholesale management platform that connects cannabis brands and retailers.,768,"Greater New York Area, East Coast, Northeastern US",,Less than $1M,Active,2015-01-01,year,,,,,For Profit,http://leaflink.com/,,,,,,,,,,,,,,,,,,"Commerce and Shopping, Community and Lifestyle, Food and Beverage, Health Care, Other, Software",2,"Ryan Smith, Zach Silverman",101-250,7,Late Stage Venture,2021-07-21,40000000,USD,40000000,Series C,40000000,USD,40000000,Series C,129000000,USD,129000000,379000000,USD,379000000,"RIV Capital, Founders Fund, 9Yards Capital, Thrive Capital, Lerer Hippeau",5,14,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,2022-12-20,2
Uptycs,https://www.crunchbase.com/organization/uptycs,"Analytics, Cloud Security, Cyber Security, Information Technology","Waltham, Massachusetts, United States","Uptycs reduces risk by prioritizing threats and vulnerabilities across cloud, containers, and endpoints—all from a single UI and data model.",768,"Greater Boston Area, East Coast, New England",,Less than $1M,Active,2016-01-01,year,,,,,For Profit,https://www.uptycs.com/,,,,,,,,,,,,,,,,,,"Data and Analytics, Information Technology, Privacy and Security",4,"Ganesh Pai, Mike Hluchyj, Milan Shah, Uma Reddy",101-250,4,Late Stage Venture,2021-05-26,50000000,USD,50000000,Series C,50000000,USD,50000000,Series C,93000000,USD,93000000,93000000,USD,93000000,"Norwest Venture Partners, Forgepoint Capital, Founder Collective, Sapphire Ventures, Genacast Ventures",5,6,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,4
CARMAT,https://www.crunchbase.com/organization/carmat-2,"Health Care, Manufacturing, Medical, Medical Device","Vélizy-villacoublay, Ile-de-France, France",CARMAT is a medtech company that develops and manufactures bioprosthetic artificial hearts for the healthcare industry.,769,European Union (EU),,$1M to $10M,Active,2008-01-01,year,2010-07-23,day,,,For Profit,http://www.carmatsa.com,,,,,,,,,,,,,,,,,,"Health Care, Manufacturing",2,"Alain Carpentier, Philippe Pouletty",501-1000,8,IPO,2022-12-19,15000000,EUR,15964325,Post-IPO Equity,15000000,EUR,15964325,Post-IPO Equity,195838703,USD,195838703,232626981,USD,232626981,"European Investment Bank, European Innovation Council, Truffle Capital",2,3,,,,,,,,,,,,,,Public,2010-07-23,,,,,,,,,ALCAR,https://www.crunchbase.com/ipo/carmat-2-ipo--f6df7fdd,EPA - Euronext Paris,,,
Tiki,https://www.crunchbase.com/organization/tiki-vn,"E-Commerce, Retail, Shopping","Ho Chi Minh City, NA - Vietnam, Vietnam",Tiki is an e-commerce company that specializes in the end-to-end supply chain and partnering with brands.,770,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",,,Active,2010-01-01,year,,,,,For Profit,http://tiki.vn,,,,,,,,,,,,,,,,,,Commerce and Shopping,1,Son Tran Ngoc Thai,501-1000,10,,2022-05-02,,,,Corporate Round,,,,Corporate Round,470500000,USD,470500000,470500000,USD,470500000,"JD.com, Temasek Holdings, UBS, United Overseas Bank, Nextrans",9,18,1,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,,,
